task,treatment,run,compile_ok,tests_passed,tests_total,clippy_warnings,loc,unwrap_count,panic_count,todo_count,unsafe_count,first_pass_captured,first_pass_compile,first_pass_tests_passed,first_pass_tests_total,first_pass_loc,iterations,cargo_invocations,agent_self_verified,total_cost_usd,duration_s
scripting,direct,0,True,24,24,8,616,2,0,0,0,True,True,24,24,616,6,1,True,0.8516425000000001,181.60628032684326
scripting,direct,1,True,24,24,13,546,0,0,0,0,True,True,24,24,546,6,1,True,0.73101925,186.83653235435486
scripting,direct,2,True,24,24,12,590,0,0,0,0,True,True,24,24,590,6,1,True,0.69141225,159.6116499900818
scripting,design_first,0,True,24,24,7,609,0,0,0,0,True,True,0,24,93,9,2,True,0.7600445,174.6220829486847
scripting,design_first,1,True,24,24,14,715,0,0,0,0,True,True,0,24,93,12,3,True,0.6661707499999999,129.57546043395996
scripting,design_first,2,True,24,24,12,610,0,0,0,0,True,True,0,24,83,8,2,True,0.45406199999999997,91.15217351913452
job_queue,direct,0,True,15,15,8,135,1,0,0,0,True,True,0,0,135,7,1,True,0.21995375,37.49101543426514
job_queue,direct,1,True,15,15,9,139,0,0,0,0,True,True,15,15,139,6,1,True,0.30944674999999994,70.04172348976135
job_queue,direct,2,True,15,15,9,140,0,0,0,0,True,True,15,15,146,9,2,True,0.27092449999999996,46.52636981010437
job_queue,design_first,0,True,15,15,9,146,0,0,0,0,True,True,0,15,81,11,3,True,0.34247074999999993,54.90105080604553
job_queue,design_first,1,True,15,15,11,146,1,0,0,0,True,True,0,15,74,10,2,True,0.3250125,66.57162952423096
job_queue,design_first,2,True,15,15,9,150,0,0,0,0,True,True,0,15,75,11,3,True,0.35088825000000007,58.03275203704834
roman,direct,0,True,20,20,5,116,7,0,0,0,True,True,20,20,116,5,1,True,0.169769,29.59035611152649
roman,direct,1,True,20,20,3,122,11,0,0,0,True,True,17,20,136,7,2,True,0.25643374999999996,55.1037859916687
roman,direct,2,True,20,20,8,128,10,0,0,0,True,True,18,20,144,7,2,True,0.2390965,48.5803017616272
roman,design_first,0,True,20,20,4,79,0,0,0,0,True,True,0,20,19,7,2,True,0.21776125000000002,50.34928774833679
roman,design_first,1,True,20,20,5,102,0,0,0,0,True,True,0,20,19,8,2,True,0.22536874999999998,45.30135369300842
roman,design_first,2,True,20,20,4,79,0,0,0,0,True,True,0,20,19,8,2,True,0.27287,68.67966604232788
bank_ledger,direct,0,True,15,15,7,113,0,0,0,0,True,True,14,15,113,5,1,True,0.27157624999999996,27.430151224136353
bank_ledger,direct,1,True,15,15,6,110,0,0,0,0,True,True,14,15,110,4,1,True,0.14851674999999998,26.248300790786743
bank_ledger,direct,2,True,15,15,6,114,0,0,0,0,True,True,14,15,114,5,1,True,0.165259,26.560079336166382
bank_ledger,design_first,0,True,15,15,8,99,0,0,0,0,True,True,0,15,58,8,2,True,0.25552175,39.98514127731323
bank_ledger,design_first,1,True,15,15,8,101,0,0,0,0,True,True,0,15,58,7,2,True,0.23362275,40.04828333854675
bank_ledger,design_first,2,True,15,15,8,99,0,0,0,0,True,True,0,15,58,7,2,True,0.23815800000000004,43.617005825042725
levenshtein,direct,0,True,16,16,2,26,0,0,0,0,True,True,16,16,26,4,1,True,0.10989349999999999,17.69070339202881
levenshtein,direct,1,True,16,16,2,53,0,0,0,0,True,True,16,16,53,4,1,True,0.12019149999999998,20.861836433410645
levenshtein,direct,2,True,16,16,2,26,0,0,0,0,True,True,16,16,26,4,1,True,0.10990074999999999,20.043274641036987
levenshtein,design_first,0,True,16,16,2,24,0,0,0,0,True,True,0,16,3,7,2,True,0.16830075,26.18481206893921
levenshtein,design_first,1,True,16,16,2,26,0,0,0,0,True,True,0,16,3,7,2,True,0.16930024999999999,31.21565341949463
levenshtein,design_first,2,True,16,16,2,24,0,0,0,0,True,True,0,16,3,7,2,True,0.17102874999999998,27.66433095932007
