task,treatment,run,compile_ok,tests_passed,tests_total,clippy_warnings,loc,unwrap_count,panic_count,todo_count,unsafe_count,first_pass_captured,first_pass_compile,first_pass_tests_passed,first_pass_tests_total,first_pass_loc,iterations,cargo_invocations,agent_self_verified,total_cost_usd,duration_s
scripting,direct,0,True,24,24,10,550,2,0,0,0,True,True,24,24,550,6,1,True,0.59741125,129.0920214653015
scripting,direct,1,True,24,24,10,642,2,0,0,0,True,True,24,24,649,8,2,True,0.68540925,150.12563681602478
scripting,direct,2,True,24,24,18,623,2,0,0,0,True,True,24,24,623,6,1,True,0.7131464999999999,163.30605912208557
scripting,design_first,0,True,24,24,16,683,2,0,0,0,True,True,0,24,110,8,2,True,0.9821505,262.74526357650757
scripting,design_first,1,True,24,24,17,705,2,0,0,0,True,True,0,24,112,8,2,True,1.0774345000000003,280.0615003108978
scripting,design_first,2,True,24,24,14,625,0,0,0,0,True,True,0,24,106,10,2,True,0.8703232499999999,208.30691838264465
job_queue,direct,0,True,15,15,8,148,0,0,0,0,True,True,15,15,148,7,2,True,0.21518374999999998,37.670432329177856
job_queue,direct,1,True,15,15,9,143,0,0,0,0,True,True,0,0,143,8,1,True,0.24963325,46.014214277267456
job_queue,direct,2,True,15,15,9,149,0,0,0,0,True,True,15,15,149,5,1,True,0.17832749999999997,33.370638608932495
job_queue,design_first,0,True,15,15,10,155,0,0,0,0,True,True,0,15,89,10,2,True,0.38389950000000006,86.79558396339417
job_queue,design_first,1,True,15,15,10,149,0,0,0,0,True,True,0,15,89,8,2,True,0.31614974999999995,75.9007396697998
job_queue,design_first,2,True,15,15,10,161,0,0,0,0,True,True,0,15,96,8,2,True,0.32369924999999994,66.66714453697205
roman,direct,0,True,20,20,3,127,7,0,0,0,True,True,20,20,127,5,1,True,0.28789174999999995,35.544071197509766
roman,direct,1,True,20,20,3,99,0,0,0,0,True,True,18,20,91,8,1,True,0.26352400000000004,48.70998454093933
roman,direct,2,True,20,20,3,135,14,0,0,0,True,True,20,20,135,6,1,True,0.19901000000000002,36.351491928100586
roman,design_first,0,True,20,20,4,91,0,0,0,0,True,True,0,20,27,8,2,True,0.28568675,64.41276979446411
roman,design_first,1,True,20,20,4,154,10,0,0,0,True,True,0,20,35,9,3,True,0.28591324999999995,54.41434025764465
roman,design_first,2,True,20,20,4,112,0,0,0,0,True,True,0,20,30,8,2,True,0.25426600000000005,48.916311740875244
