mode,task,treatment,run,doc_documented,doc_total,doc_pct,derive_debug,derive_total,derive_pct,lib_panics,lib_unwrap,lib_expect,newtype_count,loc,clippy_warnings,clippy_per_100loc
oneshot,scripting,direct,0,0,8,0.0,4,6,66.66666666666667,2,2,5,0,808,10,1.2376237623762376
oneshot,scripting,direct,1,8,8,100.0,4,6,66.66666666666667,1,1,0,0,826,10,1.2106537530266344
oneshot,scripting,direct,2,8,8,100.0,4,6,66.66666666666667,2,2,0,0,818,12,1.466992665036675
oneshot,scripting,design_first,0,0,8,0.0,6,6,100.0,0,0,0,0,628,11,1.7515923566878981
oneshot,scripting,design_first,1,0,8,0.0,4,6,66.66666666666667,0,0,0,0,684,16,2.3391812865497075
oneshot,scripting,design_first,2,0,8,0.0,6,6,100.0,2,2,0,0,696,15,2.1551724137931036
oneshot,job_queue,direct,0,0,13,0.0,3,5,60.0,0,0,1,1,227,13,5.726872246696035
oneshot,job_queue,direct,1,0,13,0.0,3,5,60.0,0,0,0,1,235,12,5.1063829787234045
oneshot,job_queue,direct,2,0,13,0.0,3,5,60.0,0,0,1,1,223,8,3.587443946188341
oneshot,job_queue,design_first,0,11,13,84.61538461538461,3,5,60.0,0,0,1,1,244,9,3.6885245901639343
oneshot,job_queue,design_first,1,11,13,84.61538461538461,3,5,60.0,0,0,1,1,283,10,3.5335689045936394
oneshot,job_queue,design_first,2,11,13,84.61538461538461,3,5,60.0,0,0,1,1,245,11,4.489795918367347
oneshot,roman,direct,0,3,3,100.0,1,1,100.0,0,0,2,0,190,6,3.1578947368421053
oneshot,roman,direct,1,3,3,100.0,1,1,100.0,1,1,0,0,211,5,2.3696682464454977
oneshot,roman,direct,2,3,3,100.0,1,1,100.0,0,0,0,0,176,4,2.272727272727273
oneshot,roman,design_first,0,3,3,100.0,1,1,100.0,0,0,0,0,247,9,3.6437246963562755
oneshot,roman,design_first,1,3,3,100.0,1,1,100.0,0,0,2,0,157,6,3.821656050955414
oneshot,roman,design_first,2,3,3,100.0,1,1,100.0,1,1,0,0,170,10,5.882352941176471
oneshot,bank_ledger,direct,0,0,10,0.0,4,5,80.0,0,0,0,2,113,6,5.3097345132743365
oneshot,bank_ledger,direct,1,0,10,0.0,4,5,80.0,0,0,0,2,120,6,5.0
oneshot,bank_ledger,direct,2,10,10,100.0,5,5,100.0,0,0,1,2,253,12,4.743083003952569
oneshot,bank_ledger,design_first,0,4,10,40.0,4,5,80.0,0,0,0,2,228,7,3.0701754385964914
oneshot,bank_ledger,design_first,1,0,10,0.0,4,5,80.0,0,0,0,2,189,6,3.1746031746031744
oneshot,bank_ledger,design_first,2,0,10,0.0,4,5,80.0,0,0,0,2,183,6,3.278688524590164
oneshot,levenshtein,direct,0,0,1,0.0,0,0,0.0,0,0,0,0,93,2,2.150537634408602
oneshot,levenshtein,direct,1,0,1,0.0,0,0,0.0,0,0,0,0,94,2,2.127659574468085
oneshot,levenshtein,direct,2,0,1,0.0,0,0,0.0,0,0,0,0,119,2,1.680672268907563
oneshot,levenshtein,design_first,0,0,1,0.0,0,0,0.0,0,0,0,0,122,2,1.639344262295082
oneshot,levenshtein,design_first,1,0,1,0.0,0,0,0.0,0,0,0,0,94,,
oneshot,levenshtein,design_first,2,0,1,0.0,0,0,0.0,0,0,1,0,138,3,2.1739130434782608
agentic,scripting,direct,0,0,7,0.0,5,5,100.0,2,2,0,0,616,8,1.2987012987012987
agentic,scripting,direct,1,0,7,0.0,5,5,100.0,0,0,5,0,546,13,2.380952380952381
agentic,scripting,direct,2,0,8,0.0,6,6,100.0,0,0,0,0,590,12,2.0338983050847457
agentic,scripting,design_first,0,0,8,0.0,4,6,66.66666666666667,0,0,0,0,609,7,1.1494252873563218
agentic,scripting,design_first,1,0,8,0.0,4,6,66.66666666666667,0,0,5,0,715,14,1.9580419580419581
agentic,scripting,design_first,2,0,8,0.0,6,6,100.0,0,0,5,0,610,12,1.9672131147540983
agentic,job_queue,direct,0,0,13,0.0,3,5,60.0,1,1,1,1,135,8,5.925925925925926
agentic,job_queue,direct,1,0,13,0.0,3,5,60.0,0,0,1,1,139,9,6.474820143884892
agentic,job_queue,direct,2,0,13,0.0,3,5,60.0,0,0,0,1,140,9,6.428571428571429
agentic,job_queue,design_first,0,0,13,0.0,3,5,60.0,0,0,1,1,146,9,6.164383561643835
agentic,job_queue,design_first,1,0,13,0.0,3,5,60.0,1,1,0,1,146,11,7.534246575342466
agentic,job_queue,design_first,2,0,13,0.0,3,5,60.0,0,0,1,1,150,9,6.0
agentic,roman,direct,0,0,3,0.0,1,1,100.0,0,0,0,0,116,5,4.310344827586207
agentic,roman,direct,1,0,3,0.0,1,1,100.0,0,0,0,0,122,3,2.459016393442623
agentic,roman,direct,2,0,3,0.0,1,1,100.0,0,0,0,0,128,8,6.25
agentic,roman,design_first,0,0,3,0.0,1,1,100.0,0,0,0,0,79,4,5.063291139240507
agentic,roman,design_first,1,0,3,0.0,1,1,100.0,0,0,0,0,102,5,4.901960784313726
agentic,roman,design_first,2,0,3,0.0,1,1,100.0,0,0,0,0,79,4,5.063291139240507
agentic,bank_ledger,direct,0,0,10,0.0,4,5,80.0,0,0,0,2,113,7,6.1946902654867255
agentic,bank_ledger,direct,1,0,10,0.0,4,5,80.0,0,0,0,2,110,6,5.454545454545454
agentic,bank_ledger,direct,2,0,10,0.0,4,5,80.0,0,0,0,2,114,6,5.2631578947368425
agentic,bank_ledger,design_first,0,0,10,0.0,4,5,80.0,0,0,0,2,99,8,8.080808080808081
agentic,bank_ledger,design_first,1,0,10,0.0,4,5,80.0,0,0,0,2,101,8,7.920792079207921
agentic,bank_ledger,design_first,2,0,10,0.0,4,5,80.0,0,0,0,2,99,8,8.080808080808081
agentic,levenshtein,direct,0,0,1,0.0,0,0,0.0,0,0,0,0,26,2,7.6923076923076925
agentic,levenshtein,direct,1,0,1,0.0,0,0,0.0,0,0,0,0,53,2,3.7735849056603774
agentic,levenshtein,direct,2,0,1,0.0,0,0,0.0,0,0,0,0,26,2,7.6923076923076925
agentic,levenshtein,design_first,0,0,1,0.0,0,0,0.0,0,0,0,0,24,2,8.333333333333334
agentic,levenshtein,design_first,1,0,1,0.0,0,0,0.0,0,0,0,0,26,2,7.6923076923076925
agentic,levenshtein,design_first,2,0,1,0.0,0,0,0.0,0,0,0,0,24,2,8.333333333333334
