mode,task,treatment,run,type_expressiveness,error_handling,api_ergonomics,idiomaticity,total
oneshot,scripting,direct,0,2,2,2,2,8
oneshot,scripting,direct,1,2,2,2,2,8
oneshot,scripting,direct,2,2,2,2,2,8
oneshot,scripting,design_first,0,2,2,1,2,7
oneshot,scripting,design_first,1,2,2,1,2,7
oneshot,scripting,design_first,2,2,2,1,2,7
oneshot,job_queue,direct,0,2,2,1,2,7
oneshot,job_queue,direct,1,2,2,1,2,7
oneshot,job_queue,direct,2,2,2,1,2,7
oneshot,job_queue,design_first,0,2,2,3,2,9
oneshot,job_queue,design_first,1,3,2,3,2,10
oneshot,job_queue,design_first,2,2,2,2,2,8
oneshot,roman,direct,0,3,3,3,3,12
oneshot,roman,direct,1,3,3,3,3,12
oneshot,roman,direct,2,3,3,3,3,12
oneshot,roman,design_first,0,3,3,3,1,10
oneshot,roman,design_first,1,3,3,3,3,12
oneshot,roman,design_first,2,3,3,3,2,11
oneshot,bank_ledger,direct,0,2,2,1,2,7
oneshot,bank_ledger,direct,1,2,2,1,2,7
oneshot,bank_ledger,direct,2,3,3,3,3,12
oneshot,bank_ledger,design_first,0,3,3,3,3,12
oneshot,bank_ledger,design_first,1,2,3,2,2,9
oneshot,bank_ledger,design_first,2,2,3,2,2,9
oneshot,levenshtein,direct,0,2,2,2,3,9
oneshot,levenshtein,direct,1,2,3,1,3,9
oneshot,levenshtein,direct,2,2,3,1,2,8
oneshot,levenshtein,design_first,0,2,3,2,3,10
oneshot,levenshtein,design_first,1,2,2,1,2,7
oneshot,levenshtein,design_first,2,2,2,2,2,8
agentic,scripting,direct,0,2,2,2,2,8
agentic,scripting,direct,1,2,2,1,2,7
agentic,scripting,direct,2,2,2,1,2,7
agentic,scripting,design_first,0,2,2,1,2,7
agentic,scripting,design_first,1,2,2,1,2,7
agentic,scripting,design_first,2,2,2,1,2,7
agentic,job_queue,direct,0,2,2,1,2,7
agentic,job_queue,direct,1,2,2,1,2,7
agentic,job_queue,direct,2,2,2,1,2,7
agentic,job_queue,design_first,0,2,2,1,2,7
agentic,job_queue,design_first,1,2,2,1,2,7
agentic,job_queue,design_first,2,2,2,1,2,7
agentic,roman,direct,0,2,3,1,2,8
agentic,roman,direct,1,2,2,2,2,8
agentic,roman,direct,2,2,3,1,2,8
agentic,roman,design_first,0,2,3,1,2,8
agentic,roman,design_first,1,2,2,1,2,7
agentic,roman,design_first,2,2,3,1,2,8
agentic,bank_ledger,direct,0,2,2,1,2,7
agentic,bank_ledger,direct,1,2,3,2,2,9
agentic,bank_ledger,direct,2,2,2,1,2,7
agentic,bank_ledger,design_first,0,2,3,2,2,9
agentic,bank_ledger,design_first,1,2,2,1,2,7
agentic,bank_ledger,design_first,2,2,3,2,2,9
agentic,levenshtein,direct,0,2,3,1,2,8
agentic,levenshtein,direct,1,2,3,2,2,9
agentic,levenshtein,direct,2,2,3,1,2,8
agentic,levenshtein,design_first,0,2,3,1,2,8
agentic,levenshtein,design_first,1,2,3,1,2,8
agentic,levenshtein,design_first,2,2,3,1,2,8
