mode,task,treatment,run,type_expressiveness,error_handling,api_ergonomics,idiomaticity,total
oneshot,scripting,direct,0,2,2,1,2,7
oneshot,scripting,direct,1,2,2,2,2,8
oneshot,scripting,direct,2,2,2,1,2,7
oneshot,scripting,design_first,0,2,2,2,2,8
oneshot,scripting,design_first,1,2,2,2,2,8
oneshot,scripting,design_first,2,2,2,2,2,8
oneshot,job_queue,direct,0,3,2,3,2,10
oneshot,job_queue,direct,1,2,2,1,2,7
oneshot,job_queue,direct,2,2,2,1,2,7
oneshot,job_queue,design_first,0,3,2,3,2,10
oneshot,job_queue,design_first,1,2,3,3,2,10
oneshot,job_queue,design_first,2,3,3,3,2,11
oneshot,roman,direct,0,3,3,3,3,12
oneshot,roman,direct,1,3,3,3,2,11
oneshot,roman,direct,2,3,3,3,3,12
oneshot,roman,design_first,0,3,3,3,3,12
oneshot,roman,design_first,1,3,3,3,2,11
oneshot,roman,design_first,2,2,3,3,2,10
agentic,scripting,direct,0,2,2,1,2,7
agentic,scripting,direct,1,2,2,1,2,7
agentic,scripting,direct,2,2,2,1,2,7
agentic,scripting,design_first,0,2,3,2,2,9
agentic,scripting,design_first,1,2,2,3,2,9
agentic,scripting,design_first,2,2,2,3,2,9
agentic,job_queue,direct,0,2,2,1,1,6
agentic,job_queue,direct,1,2,2,1,2,7
agentic,job_queue,direct,2,2,2,1,2,7
agentic,job_queue,design_first,0,2,2,2,2,8
agentic,job_queue,design_first,1,3,2,2,2,9
agentic,job_queue,design_first,2,2,2,2,2,8
agentic,roman,direct,0,2,3,2,2,9
agentic,roman,direct,1,2,3,2,2,9
agentic,roman,direct,2,2,2,1,2,7
agentic,roman,design_first,0,3,3,3,3,12
agentic,roman,design_first,1,3,3,3,3,12
agentic,roman,design_first,2,3,3,3,3,12
