task,treatment,run,compile_ok,tests_passed,tests_total,clippy_warnings,loc,unwrap_count,panic_count,todo_count,unsafe_count,response_chars,code_chars,duration_s
scripting,direct,0,True,24,24,10,808,23,0,0,0,26184,26172,144.656836271286
scripting,direct,1,True,24,24,10,826,24,0,0,0,26843,26831,208.22728157043457
scripting,direct,2,True,24,24,12,818,9,0,0,0,25887,25875,162.58035135269165
scripting,design_first,0,True,24,24,11,628,15,2,0,0,24358,22786,161.86193943023682
scripting,design_first,1,True,24,24,16,684,16,0,0,0,25929,23382,250.49221992492676
scripting,design_first,2,True,24,24,15,696,21,1,0,0,26294,23910,323.81340050697327
job_queue,direct,0,True,15,15,13,227,6,0,0,0,7207,7195,50.97999286651611
job_queue,direct,1,True,15,15,12,235,11,0,0,0,7330,7318,45.75025773048401
job_queue,direct,2,True,15,15,8,223,8,0,0,0,7533,7521,56.37454271316528
job_queue,design_first,0,True,15,15,9,244,10,0,0,0,10570,8967,80.26905417442322
job_queue,design_first,1,True,15,15,10,283,9,0,0,0,12068,10212,49.95621967315674
job_queue,design_first,2,True,15,15,11,245,7,0,0,0,10520,9010,57.47847557067871
roman,direct,0,True,20,20,6,190,12,0,0,0,6887,6875,54.51501417160034
roman,direct,1,True,20,20,5,211,15,0,0,0,6956,6944,56.56578040122986
roman,direct,2,True,20,20,4,176,14,0,0,0,6341,6329,49.808481216430664
roman,design_first,0,True,18,20,9,247,13,0,0,0,10686,8643,50.985759973526
roman,design_first,1,True,20,20,6,157,13,0,0,0,8101,5719,58.12450861930847
roman,design_first,2,True,20,20,10,170,15,0,0,0,7055,5964,55.00578308105469
bank_ledger,direct,0,True,15,15,6,113,0,0,0,0,3285,3273,15.587962627410889
bank_ledger,direct,1,True,15,15,6,120,0,0,0,0,3398,3386,17.09403109550476
bank_ledger,direct,2,True,15,15,12,253,9,2,0,0,8864,8852,37.04733347892761
bank_ledger,design_first,0,True,15,15,7,228,9,4,0,0,9890,8213,65.24138975143433
bank_ledger,design_first,1,True,15,15,6,189,5,0,0,0,7817,6338,31.351291179656982
bank_ledger,design_first,2,True,15,15,6,183,7,4,0,0,7352,5874,29.039440631866455
levenshtein,direct,0,True,16,16,2,93,0,0,0,0,3791,3094,20.761775493621826
levenshtein,direct,1,True,16,16,2,94,0,0,0,0,4123,3290,22.76995015144348
levenshtein,direct,2,True,16,16,2,119,0,0,0,0,4790,4020,26.02530002593994
levenshtein,design_first,0,True,16,16,2,122,0,0,0,0,7247,4434,38.967289447784424
levenshtein,design_first,1,False,0,0,,94,0,0,0,0,7108,3030,34.49903154373169
levenshtein,design_first,2,True,16,16,3,138,0,0,0,0,7272,4905,40.04617953300476
