task,treatment,run,compile_ok,tests_passed,tests_total,clippy_warnings,loc,unwrap_count,panic_count,todo_count,unsafe_count,response_chars,code_chars,duration_s
scripting,direct,0,True,24,24,20,749,25,0,0,0,24483,24471,145.91298580169678
scripting,direct,1,True,24,24,12,688,2,0,0,0,21561,21549,156.03420448303223
scripting,direct,2,True,24,24,14,695,17,0,0,0,23136,22609,265.91674852371216
scripting,design_first,0,True,24,24,16,790,14,2,0,0,31577,26624,212.17503213882446
scripting,design_first,1,True,24,24,18,809,14,0,0,0,29400,25305,202.60370206832886
scripting,design_first,2,True,24,24,13,681,17,2,0,0,26835,23401,236.69837641716003
job_queue,direct,0,True,15,15,12,233,9,0,0,0,8133,8121,57.106122970581055
job_queue,direct,1,True,15,15,12,260,10,0,0,0,8508,8496,64.8403787612915
job_queue,direct,2,True,15,15,9,129,0,0,0,0,3718,3706,58.889076232910156
job_queue,design_first,0,True,15,15,9,269,12,0,0,0,12563,9758,85.37686014175415
job_queue,design_first,1,True,15,15,7,255,8,0,0,0,12289,9136,77.21375036239624
job_queue,design_first,2,True,15,15,9,270,9,0,0,0,13245,9756,85.39304327964783
roman,direct,0,True,20,20,7,214,3,0,0,0,6392,6380,46.58262252807617
roman,direct,1,True,20,20,8,210,16,0,0,0,7093,7081,63.68073844909668
roman,direct,2,True,20,20,4,223,19,0,0,0,7764,7752,51.32347655296326
roman,design_first,0,True,20,20,3,186,14,0,0,0,8598,6693,73.04292106628418
roman,design_first,1,True,20,20,4,189,13,0,0,0,8283,6766,64.11769080162048
roman,design_first,2,False,0,0,,188,12,0,0,0,8390,6485,63.298120737075806
